Date,Closing Price,Open,Daily High,Daily Low
10/14/2015,2009.55,2014.47,2016.14,2002.63
10/15/2015,2033.27,2008.29,2035.8,2007.46
10/16/2015,2030.26,2037.98,2038.06,2025.19
10/19/2015,2030.27,2032.36,2036.3,2022.25
10/20/2015,2039.36,2031.5,2040.24,2026.67
10/21/2015,2042.98,2039.25,2053.95,2035.59
10/22/2015,2023,2040.43,2042.57,2019.53
10/23/2015,2040.4,2043.67,2054.82,2036.92
10/26/2015,2048.08,2049.41,2049.6,2039.97
10/27/2015,2044.65,2043.52,2045.81,2036.22
10/28/2015,2042.51,2045.67,2045.67,2032.39
10/29/2015,2034.16,2050.97,2064.72,2032.56
10/30/2015,2029.47,2034.78,2038.56,2027.8
11/2/2015,2035.24,2033.15,2036.05,2028.2
11/3/2015,2048.4,2042.6,2053.24,2040.75
11/4/2015,2052.77,2053.51,2056.12,2042.38
11/5/2015,2049.41,2049.3,2050.44,2039.93
11/6/2015,2041.07,2048.17,2055.14,2038.46
11/9/2015,2025.7,2038.59,2038.59,2022.52
11/10/2015,1996.59,2015.45,2015.45,1988.54
11/11/2015,1997.27,1993.81,2001.73,1983.14
11/12/2015,1993.36,1997.32,1998.66,1991.28
11/13/2015,1973.29,1975.97,1981.27,1969.71
11/16/2015,1943.02,1945.68,1956.09,1942.85
11/17/2015,1963.58,1967.36,1974.08,1959.22
11/18/2015,1962.88,1967.25,1973.16,1961.43
11/19/2015,1988.91,1976.94,1988.92,1972.85
11/20/2015,1989.86,1988.96,1993.97,1985.93
11/23/2015,2003.7,1995.92,2008.34,1992.86
11/24/2015,2016.29,2004.29,2019.95,2003.06
11/25/2015,2009.42,2018.24,2018.93,2007.91
11/26/2015,2030.68,2014.88,2033.18,2014.88
11/27/2015,2028.99,2038.71,2038.72,2026.4
11/30/2015,1991.97,2022.38,2022.38,1987.12
12/1/2015,2023.93,2001.51,2026.33,2001.51
12/2/2015,2009.29,2026.08,2026.19,2009.29
12/3/2015,1994.07,2000.2,2000.2,1981.59
12/4/2015,1974.4,1972.16,1983.02,1970.48
12/7/2015,1963.67,1987.62,1988.04,1963.66
12/8/2015,1949.04,1964.22,1971.07,1948.43
12/9/2015,1948.24,1951.39,1956.7,1944.78
12/10/2015,1952.07,1947.21,1956.84,1940.4
12/11/2015,1948.62,1952.82,1961,1943.67
12/14/2015,1927.82,1926.36,1930.4,1919.22
12/15/2015,1932.97,1935.82,1938.04,1925.75
12/16/2015,1969.4,1950.15,1975.63,1950.05
12/17/2015,1977.96,1984.06,1987.83,1967.64
12/18/2015,1975.32,1960.32,1981.42,1958.12
12/21/2015,1981.19,1974.26,1986.66,1968.14
12/22/2015,1992.56,1984.37,1992.72,1971.32
12/23/2015,1999.22,1994.2,2007.42,1989.3
12/24/2015,1990.65,2009.34,2009.99,1990.65
12/28/2015,1964.06,1990.59,1991.19,1964.06
12/29/2015,1966.31,1956.49,1968.57,1946.21
12/30/2015,1961.31,1973.03,1974.67,1958.78
1/4/2016,1918.76,1954.47,1954.52,1918.76
1/5/2016,1930.53,1911.93,1937.57,1911.93
